order_id,customer_id,product,category,quantity,price,order_date,country,total
O1000,C007,Keyboard,Accessory,2,1299,2024-01-01,Germany,2598
O1001,C004,Keyboard,Accessory,1,99,2024-01-01,US,99
O1002,C005,Laptop,Computer,4,99,2024-01-02,US,396
O1003,C007,Headphones,Audio,4,99,2024-01-03,US,396
O1004,C003,Phone,Mobile,5,99,2024-01-03,France,495
O1005,C008,Laptop,Computer,2,99,2024-01-04,UK,198
O1006,C005,Phone,Mobile,5,1299,2024-01-05,UK,6495
O1007,C005,Monitor,Computer,2,599,2024-01-06,UK,1198
O1008,C007,Phone,Mobile,5,299,2024-01-06,UK,1495
O1009,C002,Headphones,Audio,3,99,2024-01-07,Germany,297
O1010,C003,Monitor,Computer,3,599,2024-01-08,UK,1797
O1011,C007,Phone,Mobile,3,599,2024-01-09,China,1797
O1012,C003,Monitor,Computer,3,299,2024-01-09,UK,897
O1013,C003,Phone,Mobile,1,1299,2024-01-10,UK,1299
O1014,C008,Headphones,Audio,3,999,2024-01-11,France,2997
O1015,C005,Phone,Mobile,4,999,2024-01-11,France,3996
O1016,C004,Phone,Mobile,4,599,2024-01-12,US,2396
O1017,C008,Phone,Mobile,1,1999,2024-01-13,US,1999
O1018,C008,Laptop,Computer,3,1999,2024-01-14,France,5997
O1019,C003,Laptop,Computer,3,299,2024-01-14,UK,897
O1020,C006,Laptop,Computer,3,999,2024-01-15,China,2997
O1021,C005,Headphones,Audio,5,599,2024-01-16,China,2995
O1022,C002,Monitor,Computer,2,1299,2024-01-17,France,2598
O1023,C008,Keyboard,Accessory,5,999,2024-01-17,UK,4995
O1024,C004,Phone,Mobile,2,599,2024-01-18,France,1198
O1025,C006,Phone,Mobile,3,599,2024-01-19,UK,1797
O1026,C006,Headphones,Audio,3,99,2024-01-20,UK,297
O1027,C002,Phone,Mobile,5,1299,2024-01-20,UK,6495
O1028,C008,Laptop,Computer,5,99,2024-01-21,US,495
O1029,C004,Keyboard,Accessory,2,299,2024-01-22,Germany,598
O1030,C005,Mouse,Accessory,4,99,2024-01-22,France,396
O1031,C001,Phone,Mobile,2,99,2024-01-23,France,198
O1032,C004,Laptop,Computer,5,999,2024-01-24,US,4995
O1033,C002,Mouse,Accessory,5,1999,2024-01-25,UK,9995
O1034,C006,Keyboard,Accessory,1,599,2024-01-25,UK,599
O1035,C005,Mouse,Accessory,5,1299,2024-01-26,China,6495
O1036,C004,Laptop,Computer,1,99,2024-01-27,UK,99
O1037,C001,Monitor,Computer,4,1299,2024-01-28,Germany,5196
O1038,C001,Monitor,Computer,2,1999,2024-01-28,US,3998
O1039,C003,Mouse,Accessory,2,1999,2024-01-29,US,3998
O1040,C003,Headphones,Audio,1,99,2024-01-30,France,99
O1041,C007,Mouse,Accessory,2,299,2024-01-30,US,598
O1042,C002,Phone,Mobile,5,99,2024-01-31,Germany,495
O1043,C008,Phone,Mobile,3,999,2024-02-01,Germany,2997
O1044,C004,Monitor,Computer,1,599,2024-02-02,US,599
O1045,C004,Headphones,Audio,2,299,2024-02-02,UK,598
O1046,C008,Laptop,Computer,1,99,2024-02-03,US,99
O1047,C007,Phone,Mobile,1,1299,2024-02-04,Germany,1299
O1048,C006,Monitor,Computer,3,299,2024-02-05,UK,897
O1049,C006,Keyboard,Accessory,5,299,2024-02-05,US,1495
O1050,C007,Monitor,Computer,1,99,2024-02-06,US,99
O1051,C006,Phone,Mobile,2,299,2024-02-07,France,598
O1052,C003,Phone,Mobile,4,1299,2024-02-08,UK,5196
O1053,C004,Monitor,Computer,1,1999,2024-02-08,France,1999
O1054,C007,Laptop,Computer,1,299,2024-02-09,Germany,299
O1055,C004,Mouse,Accessory,3,1999,2024-02-10,UK,5997
O1056,C008,Phone,Mobile,5,1299,2024-02-10,UK,6495
O1057,C001,Monitor,Computer,4,99,2024-02-11,China,396
O1058,C003,Monitor,Computer,2,599,2024-02-12,UK,1198
O1059,C005,Headphones,Audio,4,299,2024-02-13,Germany,1196
O1060,C003,Mouse,Accessory,2,599,2024-02-13,US,1198
O1061,C007,Keyboard,Accessory,5,1299,2024-02-14,UK,6495
O1062,C005,Laptop,Computer,2,299,2024-02-15,Germany,598
O1063,C001,Keyboard,Accessory,3,1999,2024-02-16,US,5997
O1064,C007,Mouse,Accessory,3,999,2024-02-16,US,2997
O1065,C002,Mouse,Accessory,3,599,2024-02-17,UK,1797
O1066,C004,Mouse,Accessory,3,299,2024-02-18,US,897
O1067,C001,Keyboard,Accessory,4,599,2024-02-19,UK,2396
O1068,C004,Mouse,Accessory,5,299,2024-02-19,UK,1495
O1069,C006,Monitor,Computer,2,99,2024-02-20,China,198
O1070,C002,Keyboard,Accessory,2,1999,2024-02-21,UK,3998
O1071,C002,Mouse,Accessory,3,599,2024-02-21,France,1797
